Unidade Curricular,?rea Cient?fica,Departamento
An?lise Matem?tica,CB,DMAT
?lgebra Linear,CB,DMAT
F?sica Aplicada,CB,DEE
Programa??o I,CE,DEI
Sistemas Computacionais,CE,DEI
Introdu??o ? Engenharia Inform?tica,CE,DEI
Matem?tica Discreta,CB,DMAT
Estat?stica,CB,DMAT
Programa??o II,CE,DEI
Tecnologias de Internet,CE,DEI
Sistemas Operativos,CE,DEI
Ingl?s,CC,DCL
Sistemas Gr?ficos e Intera??o,EI-TIC,DEI
Algoritmos e Estruturas de Dados I,EI-SI,DEI
Bases de Dados,CE,DEI
Redes de Computadores,CE,DEI
Programa??o Avan?ada,EI-SI,DEI
Aplica??es para a Internet,EI-TIC,DEI
Engenharia de Software II,EI-SI,DEI
Intelig?ncia Artificial,EI-SI,DEI
Sistemas de Bases de Dados,EI-SI,DEI
Seguran?a da Informa??o,EI-SI,DEI
Aplica??es para a Internet,EI-TIC,DEI
Engenharia de Software II,EI-SI,DEI
Tecnologias de Virtualiza??o,EI-TIC,DEI
Redes de Dados,EI-TIC,DEI
Administra??o de Sistemas,EI-TIC,DEI
Desenvolvimento de Aplica??es Distribu?das,EI-TIC,DEI
Integra??o de Sistemas,EI-SI,DEI
T?picos Avan?ados de Engenharia de Software,EI-SI,DEI
Desenvolvimento de Aplica??es Empresariais,EI-SI,DEI
Sistemas de Apoio ? Decis?o,EI-SI,DEI
Desenvolvimento de Aplica??es Distribu?das,EI-TIC,DEI
Integra??o de Sistemas,EI-SI,DEI
Centros de Processamento de Dados,EI-TIC,DEI
T?picos Avan?ados de Redes,EI-TIC,DEI
Seguran?a de Sistemas,EI-TIC,DEI
Projeto Inform?tico,EI-SI,DEI
Semin?rio,CC,DEI
Inova??o e Empreendedorismo,CC,DGE
Engenharia do Conhecimento,EI-SI,DEI
Sistemas de Informa??o Empresariais,EI-SI,DEI
Projeto Inform?tico,EI-SI,DEI
Semin?rio,CC,DEI
Inova??o e Empreendedorismo,CC,DGE
Laborat?rio de Tecnologias de Informa??o,EI-TIC,DEI
Engenharia de Sistemas e Servi?os,EI-TIC,DEI
