Date;UC;In_Class;TipoFrequencia;Regime
20/10/2016;Programação I;1;T;D
21/10/2016;Programação I;1;T;D
24/10/2016;Programação I;1;T;D
02/11/2016;Análise Matemática;0;T;D
31/10/2016;Programação Avançada;1;PL;D
02/11/2016;Programação Avançada;1;PL;D
03/11/2016;Programação Avançada;1;PL;D
04/11/2016;Programação Avançada;1;PL;D
05/11/2016;Programação Avançada;0;T;D
04/11/2016;Tópicos Avançados de Redes;0;T;D
08/11/2016;Programação Avançada;1;PL;D
07/11/2016;Sistemas Computacionais;1;T;D
08/11/2016;Sistemas Computacionais;1;T;D
09/11/2016;Sistemas Computacionais;1;T;D
10/11/2016;Sistemas Computacionais;1;T;D
11/11/2016;Sistemas Computacionais;1;T;D
09/11/2016;Bases de Dados;0;T;D
09/11/2016;Segurança de Sistemas;1;PL;D
12/11/2016;Álgebra Linear;0;T;D
14/11/2016;Programação I;1;T;D
14/11/2016;Sistemas Gráficos e Interação;0;T;D
15/11/2016;Redes de Computadores;1;PL;D
15/11/2016;Segurança de Sistemas;1;T;D
16/11/2016;Redes de Computadores;1;PL;D
17/11/2016;Redes de Computadores;1;PL;D
19/11/2016;Algoritmos e Estruturas de Dados;0;PL;D
22/11/2016;Desenvolvimento de Aplicações Empresariais;1;T;D
10/11/2016;Programação I;1;T;D
11/11/2016;Programação I;1;T;D
24/11/2016;Programação I;1;T;D
25/11/2016;Programação I;1;T;D
24/11/2016;Integração de Sistemas;1;T;D
28/11/2016;Programação I;1;T;D
30/11/2016;Análise Matemática;0;T;D
07/12/2016;Bases de Dados;0;T;D
07/12/2016;Centros de Processamento de Dados;1;T;D
10/12/2016;Física Aplicada;0;T;D
13/12/2016;Programação Avançada;1;T;D
13/12/2016;Centros de Processamento de Dados;1;PL;D
14/12/2016;Redes de Computadores;0;T;D
15/12/2016;Desenvolvimento de Aplicações Distribuídas;0;T;D
16/12/2016;Programação Avançada;1;T;D
17/12/2016;Algoritmos e Estruturas de Dados;0;PL;D
19/12/2016;Programação I;1;T;D
20/12/2016;Programação I;1;T;D
06/01/2017;Programação I;1;PL;D
07/01/2017;Álgebra Linear;0;T;D
12/01/2017;Programação I;1;PL;D
13/01/2017;Programação I;1;PL;D
09/01/2017;Sistemas Gráficos e Interação;0;T;D
10/01/2017;Redes de Computadores;1;PL;D
10/01/2017;Segurança de Sistemas;1;T;D
11/01/2017;Bases de Dados;0;T;D
11/01/2017;Redes de Computadores;1;PL;D
11/01/2017;Segurança de Sistemas;1;PL;D
12/01/2017;Redes de Computadores;1;PL;D
13/01/2017;Sistemas de Apoio à Decisão;1;PL;D
04/01/2017;Programação Avançada;1;PL;D
05/01/2017;Programação Avançada;1;PL;D
06/01/2017;Programação Avançada;1;PL;D
09/01/2017;Programação Avançada;1;PL;D
10/01/2017;Programação Avançada;1;PL;D
